Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,garduation college,University,Degree,Specialization,percentage marks obtained during graduation,year when graduation was completed,name of the school attended for class 12,education board for class 12,academic stream chosen in class 12,percentage marks scored in class 12,year when class 12 was completed,name of the school attended for class 10,education board for class 10,percentage marks scored in class 10,year when class 10 was completed,did the student have any gaps in academic career,duration of academic gap in months,does the student have any prior work experience,total work experience of the student in months,name of the first organization worked at,duration of work experience at first organization in months,industry of the first organization,domain or function at first organization,job title or designation at first organization,name of the second organization worked at,duration of work experience at second organization in months,industry of the second organization,domain or function at second organization,job title or designation at second organization,name of the third organization worked at,duration of work experience at third organization in months,industry of the third organization,domain or function at third organization,job title or designation at third organization,"Languages the student can speak, understand, or is proficient in",Desired job role or long-term career goal of the student,First area of academic or professional specialization of the student,Second area of academic or professional specialization of the student,Name of the organization where the student completed their summer internship,Role or profile undertaken by the student during their summer internship,projects or research work done during mba,technical skills of the student,interpersonal or soft skills of the student
218,Chirag Aggarwal,Male,9/23/2002,27,6.42,Altius Institute Of Universal Studies,Savitribai Phule Pune University,B.Tech,General,77.9,2019,Aklank Public School,CBSE,Science (Non-Medical),62.4,2014,ST. Anne's Convent School,CBSE,76,2012,Yes,7 months,No,19 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Research Analyst,Finance,Finance,Happy Nature DHN Agri-tech Pvt. Ltd.,Analysis Operational Risk and Design Risk Framework,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
219,Anil Gill,Male,9/28/1999,24,5.93,Assam Engineering College,Deen Dayal Upadhyaya Gorakhpur University,B.Com. (Hons.),Commerce,71.7,2021,Delhi Public School,CBSE,Commerce,86.4,2018,Seedling Modern Public School,CBSE,85.5,2016,No,9 months,No,27 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Research Analyst,Marketing,Finance,Bajaj Finserv,Investment Analyst,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
220,Hemlata Ahluwalia,Female,8/27/2001,23,7.21,Kirorimal College,University Of Delhi,B.Com.,General,66.75,2021,Little Flower Public Sr Sec School,ISC,Commerce,88.67,2017,Kendriya Vidyalaya (SAC),ICSE,95.17,2015,Yes,10 months,No,7 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Mandarin",Brand Manager,Marketing,Human Resources,Kotak Securities,Sales and Marketing Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
221,Hemant Mittal,Male,2/20/2002,23,6.83,J.P Shah College,"J.C. Bose University Of Science And Technology, Ymca",B.Tech,Civil Engineering,69.83,2022,Adarsh Public School,West Bengal Council of Higher Secondary Education,Science (Non-Medical),73,2018,Kendriya Vidhyalaya No 1,Maharashtra State Board of Secondary and Higher Secondary Education,70.3,2016,Yes,10 months,No,10 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,Marketing,Operations,PVH Arvind Fashion Pvt.Ltd,Marketing and Market Research,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
222,Aryan Patnaik,Male,3/29/1999,26,8.33,College Of Engineering,Dr. A.P.J. Abdul Kalam Technical University,B.E.,Bio-Technology,63.63,2020,Springdales School,CBSE,Commerce,90,2017,Delhi Public School Rajnagar,CBSE,87.4,2015,Yes,4 months,No,13 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, German",Strategy Analyst,International Business,Marketing,Indian Oil Corporation LTD.,Management Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
223,Nandini Hooda,Female,7/14/1998,29,8,"Dombivli Shikshan Prasarak Mandal'S K.V Pendharkar College Of Arts, Science & Commerce (Autonomous).",Baba Farid University Of Health Sciences,B.D.S.,Electronics And Communication Engineering,65.3,2020,Scholar Fields Public School,Tamil Nadu State Board,Science (Non-Medical),60,2015,Queen Mary's High School,ICSE,79.8,2013,No,5 months,Yes,12 months,Ernst & Young,15 months,building and construction,Operations,Territory Manager,No Organisation,6 months,Manufacturing,,,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Marketing,Operations,SNVA Ventures Pvt ltd,Finance- Claims intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
224,Divya Rathi,Female,7/27/2001,23,7.54,Vivekananda College,University Of Delhi,B.Com.,Mathematics,68.11,2021,Little Flower Public Sr Sec School,CBSE,Commerce,88.67,2018,The Chintels School,CBSE,93.1,2016,Yes,3 months,No,30 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Finance,Operations,Bharat Heavy Electricals Limited,Sales and Digital Marketing Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
225,Abhishek Sekhon,Male,4/28/2000,22,6.97,Guru Nanak Dev Engineering College,I.K. Gujral Punjab Technical University,B.Tech,Mechanical Engineering,75.7,2023,Kundan Vidya Mandir Sr. Sec. School,Gujarat Secondary and Higher Secondary Education Board,Science (Non-Medical),64,2020,St. Anthony Senior Secondary School,Karnataka Secondary Education Board,85.5,2018,No,0 months,No,8 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, French, Gujarati",Business Data Analyst,Big Data Analytics,Marketing,V-Guard Industries Limited,Management Trainee Summer Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
226,Gaurav Gill,Male,7/17/2000,27,7.94,"Bhilai Institute Of Technology, Durg",University Of Petroleum And Energy Studies,B.B.A.,Mechatronics Engineering,73.2,2018,Air Force Bal Bharati School,CBSE,Commerce,86.2,2014,"Lotus Valley International School, Noida",CBSE,68.7,2011,No,11 months,Yes,18 months,Tata Consultancy Services,18 months,Financial Services & Insurance,Engineering Projects,Engineer,HMX: Cooling and Heating Solutions,6 months,Ed-tech,Operations,Marketing and Sales Manager,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Finance,Marketing,MediDhan,Marketing and Business development Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
227,Kiran Venkatesh,Female,7/22/2002,22,7.94,Mata Sundri College For Women,University Of Delhi,B.A. (Hons.),Business Economics,84.73,2023,Modern Public School,CBSE,Science (Non-Medical),95.33,2020,Delhi Public School Mathura Road,CBSE,96.8,2018,No,9 months,No,21 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Strategy Analyst,Finance,Marketing,Skyria,Corporate Sales Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
228,Kajal Kataria,Female,10/29/2001,28,8.33,National Institute Of Fashion Technology,Guru Gobind Singh Indraprastha University,B.A. (Hons.),English,80.13,2016,Modern Public School,CBSE,Science (Medical),88.6,2012,Lake Montfort School,CBSE,95,2010,Yes,9 months,Yes,6 months,Varroc Polymer Private Ltd. Narasapura Industrial Area Kolar,12 months,Manufacturing,Sales,Management Trainee,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Bengali",Market Research Specialist,Marketing,Operations,GEP,Business Development Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
229,Jyoti Bose,Female,5/24/2001,24,7.56,Shivaji College,University Of Delhi,B.Com. (Hons.),Commerce,80.23,2021,Maharishi Vidya Mandir Senior Secondary School,CBSE,Commerce,92.6,2018,Lucknow Public School,CBSE,85.5,2016,No,10 months,Yes,23 months,KPMG,23 months,Art & Culture,Audit,Manager for operations,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Assamese",Business Analyst,International Business,Marketing,Jeena and Company,marketing intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
230,Rajendra Sodhi,Male,3/31/2002,22,7.02,Atma Ram Sanatan Dharma College,University Of Delhi,B.E.,Physical Science With Computer Science,75.81,2022,Shree Sanatan Dharm Education Centre,CBSE,Science (Medical),89,2019,"Bal Bharati Public School, Dwarka",CBSE,79,2017,Yes,9 months,No,20 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, French, Kashmiri",Business Data Analyst,International Business,Marketing,Mintsteer India Financial Consultancy Pvt. Ltd.,Summer Intern,"1. Market Entry Strategy
2. Competitive Analysis
3. Strategic Planning","1. Strategic Planning Tools
2. Financial Modeling
3. Market Analysis Software","1. Strategic Thinking
2. Business Acumen
3. Critical Analysis"
231,Aditya Garg,Male,12/15/2000,26,7.81,Kalinga Institute Of Industrial Technology,University Of Delhi,B.Com. (Hons.),Commerce,59.31,2020,Crpf Public School,CBSE,Commerce,92,2016,CRPF Public School,CBSE,91.2,2014,No,9 months,Yes,10 months,KPMG Global Services,32 months,Financial Services & Insurance,Operations,Digital Manager,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Management Consultant,International Business,Marketing,V-GUARD,Digital Marketing Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
232,Vaishnavi Bains,Female,12/30/2000,23,7.96,Symbiosis Centre For Management Studies,Amity University,B.Com. (Hons.),Finance,77.23,2022,Delhi Public School,CBSE,Commerce,89.2,2019,Ryan International School,CBSE,85.5,2017,Yes,0 months,No,6 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Marketing,Human Resources,Motilal Oswal Financial Services Limited,Management Trainee,"1. BI Solutions
2. Dashboard Development
3. Data Warehouse Design","1. SQL
2. Power BI
3. ETL Tools","1. Data Visualization
2. Business Understanding
3. Technical Problem Solving"
233,Rohan Yadav,Male,10/19/2000,26,7.81,Kalinga Institute Of Industrial Technology,University Of Delhi,B.Tech,Finance,88.7,2020,"Ram Bhavan Inter College, Satahawa",CBSE,Science (Non-Medical),86,2016,R K C Vidya Vihar,CBSE,95,2014,No,5 months,Yes,23 months,Infosys Limited,13 months,Information Technology,Sales,SAP S4 HANA FI Package Specialist,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Analyst,International Business,Marketing,Rancho Labs,Marketing Intern,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
234,Pradeep Guha,Male,5/14/2002,27,6.78,Institute Of Hotel Management,Indira Gandhi National Open University,B.Sc.,Hotel Management,68.19,2018,Ncl Jr College Pune,CBSE,Commerce,69.2,2015,Basava international,CBSE,81.7,2013,Yes,4 months,No,33 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Intelligence Developer,International Business,Marketing,Enrich Agro Food Products Pvt Ltd(Coca Cola FBO),Business Development and Market Research Analyst,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
235,Sachin Chopra,Male,3/13/1998,26,7.04,Sree Narayana College,Calicut University,B.Tech,Co-Operation,66.77,2020,Mnkm Higher Secondary School,Kerala Higher Secondary Education,Science (Non-Medical),75.33,2016,Darbari lal foundation(DLF) public school,"Board of Public Examinations, Kerala",85.5,2014,Yes,2 months,No,9 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Gujarati.",Business Analyst,Marketing,Operations,Corizo Edutech Private Limited,KEY Accounts management trainee,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
236,Sachin Sodhi,Male,8/17/1998,23,8.03,Srm Institute Of Science And Technology,Guru Gobind Singh Indraprastha University,B.Tech,Mechanical And Automation Engineering,79.99,2023,Lovely Public Senior Secondary School,CBSE,Science (Non-Medical),89.67,2020,Bal Bharati Public School,CBSE,85,2018,No,2 months,No,21 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Strategy Analyst,Finance,Marketing,Blackberrys (Mohan Clothing Co. Pvt. Ltd.),Area Sales Manager Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
237,Suraj Garg,Male,1/31/2001,25,7.36,City College Of Commerce & Business Administration,Calcutta University,B.A. LLB,Finance,79.28,2023,Bhartiya Vidya Bhavan,CBSE,Science (Non-Medical),94,2016,L.S.D.B.R.A.S Vidya Mandir,ICSE,95,2014,No,2 months,Yes,28 months,Tata Consultancy Services,13 months,Retail,Consultancy,Talent Acquisition Associate,Intas Pharmaceutical Ltd.,21 months,Market Research,Operations,Assurance Associate,No Organisation,0 months,None,None,None,"English, Hindi, sindhi",Digital Marketing Specialist,Finance,Marketing,Tata Steel,Customer Relationship Mangement,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
238,Abhishek Bose,Male,7/24/2002,30,7.49,Kiit University,Kavayitri Bahinabai Chaudhari North Maharashtra University,B.Com. L.L.B,Journalism,65.3,2022,Sri Chaitanya Junior Kalasala,NIOS,Commerce,79,2013,"Ryan International School, Kandivali",Karnataka Secondary Education Board,68.7,2011,Yes,7 months,No,22 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Management Consultant,Finance,Big Data Analytics,Bio Copper Pvt. Ltd.,Finance- Claims intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
239,Rekha Mehta,Female,9/25/2002,22,7.09,Banasthali Vidhyapeeth,Chirst Deemed To Be University,B.B.A.,General,71.34,2022,Ahlcon International School,CBSE,Commerce,92.6,2019,Central Academy,CBSE,91.2,2017,Yes,0 months,No,20 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,Finance,Marketing,DMI Finance Pvt Ltd,Data Analyst,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
240,Rohan Goswami,Male,3/26/2001,22,6.48,University Of Petroleum And Energy Studies,University Of Petroleum And Energy Studies,B.A.,Civil Engineering,71,2023,K.R. Mangalam World School,CBSE,Science (Non-Medical),70.33,2019,D.A.V. Public School,CBSE,85,2017,No,12 months,No,13 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,International Business,Marketing,Reliance Retail,Assistant Category Manager,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
241,Rishi Thakur,Male,7/13/2001,21,6.76,Commerce College,Guru Gobind Singh Indraprastha University,B.Sc.,Physical Science With Computer Science,78.3,2022,Greenfields Public School,CBSE,Science (Non-Medical),78,2018,Lancer's Convent School,CBSE,85.5,2016,Yes,6 months,Yes,16 months,Tata Consultancy Services,15 months,Information Technology,Research and Development,Management Trainee,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Data Scientist,Big Data Analytics,Marketing,Chandra Motors,Data Science and Analytics,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
242,Aradhana Jain,Female,3/18/1998,22,6.76,Virendra Swarup Institute Of Computer Studies,Amity University,B.Com. (Hons.),General,82,2023,Mata Nand Kaur Senior Secondary School,CBSE,Commerce,88.4,2020,"Kendriya Vidyalaya No. 1, Bajaj Ngr Jaipur",CBSE,88.4,2018,No,7 months,No,20 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,International Business,Marketing,Siemens Ltd.,Brand and Marketing Intern,"1. Market Entry Strategy
2. Competitive Analysis
3. Strategic Planning","1. Strategic Planning Tools
2. Financial Modeling
3. Market Analysis Software","1. Strategic Thinking
2. Business Acumen
3. Critical Analysis"
243,Aarav Dwivedi,Male,4/29/2000,25,7.04,Kcc Institute Of Legal And Higher Education,Assam Science And Technology University,B.Sc.,Economics,68.55,2019,Raja Kesavadas N. S. S. Higher Secondary School,CBSE,Science (Medical),80.2,2016,Maharaja Agrasen Vidyapeeth,CBSE,88.33,2014,No,8 months,No,36 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,Marketing,Human Resources,Axis Bank,Human Resource Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
244,Swati Sekhon,Female,7/14/1998,22,6.21,Symbiosis Centre For Management Studies,Ranchi University,B.Com.,Finance,58,2023,Seedling Modern Public School,CBSE,Commerce,93.08,2020,Seth Anandram Jaipuria School,CBSE,95,2018,No,1 months,No,15 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, French",Business Analyst,International Business,Finance,Mecon Limited,Consultant,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
245,Hemant Chopra,Male,11/16/2000,24,6.13,St. Xavier'S College,Symbiosis International (Deemed University),B.Tech,Electrical Engineering,74.2,2021,Salwan Public School,CBSE,Science (Non-Medical),91.6,2018,Delhi Public School,CBSE,95,2016,Yes,11 months,Yes,30 months,Rydeu Logistics,15 months,Consultancy,Research and Development,Junior Associate,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Research Associate,Finance,Marketing,Bank of Baroda,Sales & Operations Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
246,Satish Naidu,Male,11/26/2002,24,6.11,New Delhi Institute Of Management,Bharati Vidyapeeth (Deemed To Be University),B.Com. (Hons.),Finance,86.5,2021,St. TheresaâS Convent School,CBSE,Commerce,72.83,2018,The Lawrence School Lovedale,CBSE,79.8,2016,Yes,1 months,No,17 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Marketing,Finance,Krishna InfraTec,Summer Intern,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
247,Deepak Bains,Male,7/29/1993,21,7.49,Chanakya Education Society'S Indira College Of Commerce,Savitribai Phule Pune University,BMS,Information Science Engineering,82.46,2022,The Jain International School,CBSE,Science (Non-Medical),78.8,2019,"Ryan International School, Kandivali",CBSE,77.9,2017,Yes,6 months,No,6 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,International Business,Marketing,Bharat Forge Ltd.,Sales & marketing intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
248,Manish Nair,Male,10/19/2000,24,7.43,Heramba Chandra College,Calcutta University,B.Tech,Mechanical Engineering,82.58,2021,New English School Junior College,CBSE,Science,79.2,2018,Gagan Bharti Public School,CBSE,87.4,2016,Yes,11 months,No,23 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi, Marathi",Business Analyst,Marketing,Finance,Rancho labs,Market Analyst,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Problem Solving
2. Strategic Thinking
3. Client Management"
249,Kartik Joshi,Male,1/22/2001,22,8.26,Institute Of Management Studies And Research,Maharshi Dayanand University,B.A.,Physics,79.99,2023,K.R. Mangalam World School,CBSE,Arts/ Humanities,87.7,2019,Minerva Public School,CBSE,95.8,2017,No,12 months,No,32 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Research Analyst,Finance,Human Resources,HDFC Bank,Finance Intern,"1. Consumer Research
2. Market Analysis
3. Trend Analysis","1. SPSS
2. Survey Tools
3. Research Software","1. Research Methods
2. Data Analysis
3. Market Understanding"
250,Shraddha Sodhi,Female,3/25/2002,23,6.98,Galgotias University,Galgotias University,B.Com. (Hons.),General,77.3,2022,Julien Day School,CBSE,Commerce,80.6,2019,Guru Harkrishan Public School,CBSE,87.4,2017,Yes,1 months,No,21 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Finance,Marketing,Loom Solar pvt ltd,Portfolio Management Intern,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
251,Abhay Sekhon,Male,8/17/1998,22,8.45,Wilson College,Maulana Abul Kalam Azad University Of Technology,B.Com.,Automotive Design,82.46,2022,La Martiniere College,CBSE,Commerce,78.2,2019,"Kendriya Vidyalaya No. 1, Bajaj Ngr Jaipur",CBSE,89.3,2017,Yes,2 months,No,10 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Digital Marketing Specialist,Finance,Marketing,Rancho Labs,Marketing research intern,"1. Market Entry Strategy
2. Competitive Analysis
3. Strategic Planning","1. Strategic Planning Tools
2. Financial Modeling
3. Market Analysis Software","1. Strategic Thinking
2. Business Acumen
3. Critical Analysis"
252,Surbhi Jain,Female,4/15/2002,21,8.31,Sri Aurobindo College,University Of Delhi,B.B.A.,General,92.4,2023,Patrachar Vidyalaya,CBSE,Commerce,95.67,2020,S.S Mota Singh Model school,CBSE,96.8,2018,No,10 months,No,13 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,International Business,Marketing,Asahi India Glass Ltd.,Market Research,"1. Market Entry Strategy
2. Competitive Analysis
3. Strategic Planning","1. Strategic Planning Tools
2. Financial Modeling
3. Market Analysis Software","1. Strategic Thinking
2. Business Acumen
3. Critical Analysis"
253,Harendra Verma,Male,6/30/1998,22,8.13,Institute Of Management Studies And Research,Maharshi Dayanand University,B.B.A.,General,79.99,2023,Vivekanand School,CBSE,Commerce,89.4,2020,St .Anne's School,CBSE,91,2018,No,6 months,No,18 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,International Business,Marketing,Blackberrys (Mohan Clothing Co. Pvt. Ltd.),Summer Intern- Emerging Enterprises Group,"1. Market Entry Strategy
2. Competitive Analysis
3. Strategic Planning","1. Strategic Planning Tools
2. Financial Modeling
3. Market Analysis Software","1. Strategic Thinking
2. Business Acumen
3. Critical Analysis"
254,Aarav Mohanty,Male,6/30/1998,22,8.13,Institute Of Management Studies And Research,Panjab University,B.B.A.,General,81.11,2023,Dav Public School,CBSE,Commerce,89.67,2020,"DAV Public School, Sector - 14",CBSE,92.33,2018,No,12 months,No,28 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,International Business,Marketing,Sharda Motor Industries Limited,Summer Intern- Emerging Enterprises Group,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
255,Anil Purohit,Male,11/13/2000,22,7.4,Dav College,Panjab University,B.Com. (Hons.),Accounting And Finance,77.9,2022,Pinewood School,CBSE,Commerce,89.4,2019,Titiksha Public School,CBSE,77.9,2017,Yes,12 months,No,26 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Finance,Marketing,J.S.L.P.S (Govt. of Jharkhand),Summer Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
