Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,garduation college,University,Degree,Specialization,percentage marks obtained during graduation,year when graduation was completed,name of the school attended for class 12,education board for class 12,academic stream chosen in class 12,percentage marks scored in class 12,year when class 12 was completed,name of the school attended for class 10,education board for class 10,percentage marks scored in class 10,year when class 10 was completed
213,Manish Hooda,Male,8/16/2002,23,7.51,College Of Vocational Studies,University Of Delhi,B.Sc.,Bsc. Hons Mathematics (Economics Minor),75.27,2022,Spring Meadows Public School,Maharashtra State Board of Secondary and Higher Secondary Education,Science (Non-Medical),81.6,2019,Spring Meadows Public School,CBSE,89.3,2017
214,Uday Dwivedi,Male,3/31/2001,22,7.12,Ideal Institute Of Management And Technology,Bharati Vidyapeeth (Deemed To Be University),B.B.A.,Finance,83.4,2023,Delhi Public School,CBSE,Commerce,87.83,2020,Ryan International School,CBSE,92.3,2018
215,Vimal Venkatesh,Male,8/30/2000,27,6.68,Abes Engineering College,Guru Gobind Singh Indraprastha University,B.Tech,Information Technology,70.7,2018,St. Mary'S Inter College,CBSE,Science (Non-Medical),67,2015,Sri Ayodhya Singh Memorial Inter College,CBSE,86.4,2013
216,Vijay Venkatesh,Male,11/30/2000,24,7.73,Srm University,Maulana Abul Kalam Azad University Of Technology,B.Tech,Computer Science Engineering,86.5,2022,Cipet,CBSE,Science (Non-Medical),73.8,2018,"DAV Public School Sreshtha Vihar, Delhi",CBSE,82.83,2016
217,Aakash Sidhu,Male,3/25/2002,22,6.71,Shaheed Bhagat Singh College,Manipal University,B.B.A.,Human Resource Management,71.34,2021,R.R.K. Senior Secondary School,CBSE,Commerce,71.4,2018,Bal Bharati Public School,CBSE,84,2016
218,Chirag Aggarwal,Male,9/23/2002,27,6.42,Altius Institute Of Universal Studies,Savitribai Phule Pune University,B.Tech,General,77.9,2019,Aklank Public School,CBSE,Science (Non-Medical),62.4,2014,ST. Anne's Convent School,CBSE,76,2012
219,Anil Gill,Male,9/28/1999,24,5.93,Assam Engineering College,Deen Dayal Upadhyaya Gorakhpur University,B.Com. (Hons.),Commerce,71.7,2021,Delhi Public School,CBSE,Commerce,86.4,2018,Seedling Modern Public School,CBSE,85.5,2016
220,Hemlata Ahluwalia,Female,8/27/2001,23,7.21,Kirorimal College,University Of Delhi,B.Com.,General,66.75,2021,Little Flower Public Sr Sec School,ISC,Commerce,88.67,2017,Kendriya Vidyalaya (SAC),ICSE,95.17,2015
221,Hemant Mittal,Male,2/20/2002,23,6.83,J.P Shah College,"J.C. Bose University Of Science And Technology, Ymca",B.Tech,Civil Engineering,69.83,2022,Adarsh Public School,West Bengal Council of Higher Secondary Education,Science (Non-Medical),73,2018,Kendriya Vidhyalaya No 1,Maharashtra State Board of Secondary and Higher Secondary Education,70.3,2016
222,Aryan Patnaik,Male,3/29/1999,26,8.33,College Of Engineering,Dr. A.P.J. Abdul Kalam Technical University,B.E.,Bio-Technology,63.63,2020,Springdales School,CBSE,Commerce,90,2017,Delhi Public School Rajnagar,CBSE,87.4,2015
223,Nandini Hooda,Female,7/14/1998,29,8,"Dombivli Shikshan Prasarak Mandal'S K.V Pendharkar College Of Arts, Science & Commerce (Autonomous).",Baba Farid University Of Health Sciences,B.D.S.,Electronics And Communication Engineering,65.3,2020,Scholar Fields Public School,Tamil Nadu State Board,Science (Non-Medical),60,2015,Queen Mary's High School,ICSE,79.8,2013
224,Divya Rathi,Female,7/27/2001,23,7.54,Vivekananda College,University Of Delhi,B.Com.,Mathematics,68.11,2021,Little Flower Public Sr Sec School,CBSE,Commerce,88.67,2018,The Chintels School,CBSE,93.1,2016
225,Abhishek Sekhon,Male,4/28/2000,22,6.97,Guru Nanak Dev Engineering College,I.K. Gujral Punjab Technical University,B.Tech,Mechanical Engineering,75.7,2023,Kundan Vidya Mandir Sr. Sec. School,Gujarat Secondary and Higher Secondary Education Board,Science (Non-Medical),64,2020,St. Anthony Senior Secondary School,Karnataka Secondary Education Board,85.5,2018
226,Gaurav Gill,Male,7/17/2000,27,7.94,"Bhilai Institute Of Technology, Durg",University Of Petroleum And Energy Studies,B.B.A.,Mechatronics Engineering,73.2,2018,Air Force Bal Bharati School,CBSE,Commerce,86.2,2014,"Lotus Valley International School, Noida",CBSE,68.7,2011
227,Kiran Venkatesh,Female,7/22/2002,22,7.94,Mata Sundri College For Women,University Of Delhi,B.A. (Hons.),Business Economics,84.73,2023,Modern Public School,CBSE,Science (Non-Medical),95.33,2020,Delhi Public School Mathura Road,CBSE,96.8,2018
228,Kajal Kataria,Female,10/29/2001,28,8.33,National Institute Of Fashion Technology,Guru Gobind Singh Indraprastha University,B.A. (Hons.),English,80.13,2016,Modern Public School,CBSE,Science (Medical),88.6,2012,Lake Montfort School,CBSE,95,2010
229,Jyoti Bose,Female,5/24/2001,24,7.56,Shivaji College,University Of Delhi,B.Com. (Hons.),Commerce,80.23,2021,Maharishi Vidya Mandir Senior Secondary School,CBSE,Commerce,92.6,2018,Lucknow Public School,CBSE,85.5,2016
230,Rajendra Sodhi,Male,3/31/2002,22,7.02,Atma Ram Sanatan Dharma College,University Of Delhi,B.E.,Physical Science With Computer Science,75.81,2022,Shree Sanatan Dharm Education Centre,CBSE,Science (Medical),89,2019,"Bal Bharati Public School, Dwarka",CBSE,79,2017
231,Aditya Garg,Male,12/15/2000,26,7.81,Kalinga Institute Of Industrial Technology,University Of Delhi,B.Com. (Hons.),Commerce,59.31,2020,Crpf Public School,CBSE,Commerce,92,2016,CRPF Public School,CBSE,91.2,2014
232,Vaishnavi Bains,Female,12/30/2000,23,7.96,Symbiosis Centre For Management Studies,Amity University,B.Com. (Hons.),Finance,77.23,2022,Delhi Public School,CBSE,Commerce,89.2,2019,Ryan International School,CBSE,85.5,2017
233,Rohan Yadav,Male,10/19/2000,26,7.81,Kalinga Institute Of Industrial Technology,University Of Delhi,B.Tech,Finance,88.7,2020,"Ram Bhavan Inter College, Satahawa",CBSE,Science (Non-Medical),86,2016,R K C Vidya Vihar,CBSE,95,2014
234,Pradeep Guha,Male,5/14/2002,27,6.78,Institute Of Hotel Management,Indira Gandhi National Open University,B.Sc.,Hotel Management,68.19,2018,Ncl Jr College Pune,CBSE,Commerce,69.2,2015,Basava international,CBSE,81.7,2013
235,Sachin Chopra,Male,3/13/1998,26,7.04,Sree Narayana College,Calicut University,B.Tech,Co-Operation,66.77,2020,Mnkm Higher Secondary School,Kerala Higher Secondary Education,Science (Non-Medical),75.33,2016,Darbari lal foundation(DLF) public school,"Board of Public Examinations, Kerala",85.5,2014
236,Sachin Sodhi,Male,8/17/1998,23,8.03,Srm Institute Of Science And Technology,Guru Gobind Singh Indraprastha University,B.Tech,Mechanical And Automation Engineering,79.99,2023,Lovely Public Senior Secondary School,CBSE,Science (Non-Medical),89.67,2020,Bal Bharati Public School,CBSE,85,2018
237,Suraj Garg,Male,1/31/2001,25,7.36,City College Of Commerce & Business Administration,Calcutta University,B.A. LLB,Finance,79.28,2023,Bhartiya Vidya Bhavan,CBSE,Science (Non-Medical),94,2016,L.S.D.B.R.A.S Vidya Mandir,ICSE,95,2014
238,Abhishek Bose,Male,7/24/2002,30,7.49,Kiit University,Kavayitri Bahinabai Chaudhari North Maharashtra University,B.Com. L.L.B,Journalism,65.3,2022,Sri Chaitanya Junior Kalasala,NIOS,Commerce,79,2013,"Ryan International School, Kandivali",Karnataka Secondary Education Board,68.7,2011
239,Rekha Mehta,Female,9/25/2002,22,7.09,Banasthali Vidhyapeeth,Chirst Deemed To Be University,B.B.A.,General,71.34,2022,Ahlcon International School,CBSE,Commerce,92.6,2019,Central Academy,CBSE,91.2,2017
240,Rohan Goswami,Male,3/26/2001,22,6.48,University Of Petroleum And Energy Studies,University Of Petroleum And Energy Studies,B.A.,Civil Engineering,71,2023,K.R. Mangalam World School,CBSE,Science (Non-Medical),70.33,2019,D.A.V. Public School,CBSE,85,2017
241,Rishi Thakur,Male,7/13/2001,21,6.76,Commerce College,Guru Gobind Singh Indraprastha University,B.Sc.,Physical Science With Computer Science,78.3,2022,Greenfields Public School,CBSE,Science (Non-Medical),78,2018,Lancer's Convent School,CBSE,85.5,2016
242,Aradhana Jain,Female,3/18/1998,22,6.76,Virendra Swarup Institute Of Computer Studies,Amity University,B.Com. (Hons.),General,82,2023,Mata Nand Kaur Senior Secondary School,CBSE,Commerce,88.4,2020,"Kendriya Vidyalaya No. 1, Bajaj Ngr Jaipur",CBSE,88.4,2018
243,Aarav Dwivedi,Male,4/29/2000,25,7.04,Kcc Institute Of Legal And Higher Education,Assam Science And Technology University,B.Sc.,Economics,68.55,2019,Raja Kesavadas N. S. S. Higher Secondary School,CBSE,Science (Medical),80.2,2016,Maharaja Agrasen Vidyapeeth,CBSE,88.33,2014
244,Swati Sekhon,Female,7/14/1998,22,6.21,Symbiosis Centre For Management Studies,Ranchi University,B.Com.,Finance,58,2023,Seedling Modern Public School,CBSE,Commerce,93.08,2020,Seth Anandram Jaipuria School,CBSE,95,2018
245,Hemant Chopra,Male,11/16/2000,24,6.13,St. Xavier'S College,Symbiosis International (Deemed University),B.Tech,Electrical Engineering,74.2,2021,Salwan Public School,CBSE,Science (Non-Medical),91.6,2018,Delhi Public School,CBSE,95,2016
246,Satish Naidu,Male,11/26/2002,24,6.11,New Delhi Institute Of Management,Bharati Vidyapeeth (Deemed To Be University),B.Com. (Hons.),Finance,86.5,2021,St. TheresaâS Convent School,CBSE,Commerce,72.83,2018,The Lawrence School Lovedale,CBSE,79.8,2016
247,Deepak Bains,Male,7/29/1993,21,7.49,Chanakya Education Society'S Indira College Of Commerce,Savitribai Phule Pune University,BMS,Information Science Engineering,82.46,2022,The Jain International School,CBSE,Science (Non-Medical),78.8,2019,"Ryan International School, Kandivali",CBSE,77.9,2017
248,Manish Nair,Male,10/19/2000,24,7.43,Heramba Chandra College,Calcutta University,B.Tech,Mechanical Engineering,82.58,2021,New English School Junior College,CBSE,Science,79.2,2018,Gagan Bharti Public School,CBSE,87.4,2016
249,Kartik Joshi,Male,1/22/2001,22,8.26,Institute Of Management Studies And Research,Maharshi Dayanand University,B.A.,Physics,79.99,2023,K.R. Mangalam World School,CBSE,Arts/ Humanities,87.7,2019,Minerva Public School,CBSE,95.8,2017
250,Shraddha Sodhi,Female,3/25/2002,23,6.98,Galgotias University,Galgotias University,B.Com. (Hons.),General,77.3,2022,Julien Day School,CBSE,Commerce,80.6,2019,Guru Harkrishan Public School,CBSE,87.4,2017
251,Abhay Sekhon,Male,8/17/1998,22,8.45,Wilson College,Maulana Abul Kalam Azad University Of Technology,B.Com.,Automotive Design,82.46,2022,La Martiniere College,CBSE,Commerce,78.2,2019,"Kendriya Vidyalaya No. 1, Bajaj Ngr Jaipur",CBSE,89.3,2017
252,Surbhi Jain,Female,4/15/2002,21,8.31,Sri Aurobindo College,University Of Delhi,B.B.A.,General,92.4,2023,Patrachar Vidyalaya,CBSE,Commerce,95.67,2020,S.S Mota Singh Model school,CBSE,96.8,2018
253,Harendra Verma,Male,6/30/1998,22,8.13,Institute Of Management Studies And Research,Maharshi Dayanand University,B.B.A.,General,79.99,2023,Vivekanand School,CBSE,Commerce,89.4,2020,St .Anne's School,CBSE,91,2018
254,Aarav Mohanty,Male,6/30/1998,22,8.13,Institute Of Management Studies And Research,Panjab University,B.B.A.,General,81.11,2023,Dav Public School,CBSE,Commerce,89.67,2020,"DAV Public School, Sector - 14",CBSE,92.33,2018
255,Anil Purohit,Male,11/13/2000,22,7.4,Dav College,Panjab University,B.Com. (Hons.),Accounting And Finance,77.9,2022,Pinewood School,CBSE,Commerce,89.4,2019,Titiksha Public School,CBSE,77.9,2017
256,Ajay Tiwari,Male,3/31/2001,23,7.28,B.S. Anangpuria Institute Of Technology And Management,Gujarat Law Society (G.L.S) University,B.C.A.,Physics,88.8,2021,Sri Chaitanya Junior Kalasala,CBSE,Science (Non-Medical),81.4,2018,Bal Bharati Public School,CBSE,81.7,2016
257,Mukesh Sethi,Male,8/22/2000,29,7.51,Shyam Lal College,Barkatullah University,B.Pharm,Dentistry,64.13,2020,Convent Of Gagan Bharti,CBSE,Science (Non-Medical),75.33,2014,"Army Public School, Shankar Vihar",CBSE,85.5,2011
258,Ameena Arora,Female,12/31/1999,24,6.66,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,71.7,2021,Delhi Public School,CBSE,Science (Non-Medical),79.6,2018,"Delhi Public School, Agra",CBSE,89.3,2016
259,Asha Malhotra,Female,6/28/2002,23,7.77,Maharaja Agrasen Institute Of Management Studies,Calcutta University,B.Com. (Hons.),Commerce,87.4,2022,Bhavan'S Vidyalaya,CBSE,Commerce,78.5,2019,"AG DAV Centenary Public School, Model Town",CBSE,89.3,2017
260,Jyoti Rout,Female,3/13/1998,24,8.32,Rajdhani College,University Of Delhi,B.Com. (Hons.),General,76,2021,Shah International Public School,CBSE,Commerce,93.83,2018,Navy Children School,CBSE,95,2016
261,Arjun Rana,Male,4/23/1999,25,7.71,Fairfield Institute Of Management And Technology,Rajasthan University,B.E.,Bio-Technology,65.73,2020,La Martiniere Girls' College,CBSE,Commerce,92,2017,Delhi Public School,CBSE,95,2015
262,Mahesh Garg,Male,4/14/2001,25,7.56,Shaheed Bhagat Singh College (Day),Dr. A.P.J. Abdul Kalam Technical University,B.E.,Zoology,72.5,2021,Cambridge Court High School,CBSE,Commerce,85.83,2017,St. Thomas school,ICSE,95,2015
263,Dhruv Mittal,Male,3/15/2002,22,7.46,Lalbhai Dalpatbhai Arts College,Gujarat University,B.Sc. (Hons.),Computer Science,81.22,2022,Sarvodaya Bal Vidyalaya,CBSE,Science (Medical),78.8,2018,Shree Sanatan Dharm Education Centre Kaushalpuri,CBSE,95.8,2016
264,Vivaan Bose,Male,7/24/2000,22,6.36,Dyal Singh College,University Of Delhi,B.Com. (Hons.),Commerce,77.81,2021,St. Marks Girls' Senior Secondary School,CBSE,Commerce,73,2018,Mahaveer Public School,CBSE,91.2,2016
265,Deepak Nair,Male,8/23/2000,23,7.51,Maharaja Agrasen Institute Of Management Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,95.2,2023,Nehru World School,CBSE,Commerce,84.8,2019,National Victor Public School,CBSE,81.7,2017
266,Kabir Rathi,Male,4/27/2001,22,7.75,Bharti Vidyapeeth Institute Of Management & Research,University Of Delhi,B.B.A.,General,90.1,2023,Dayanand Anglo Vedic,CBSE,Commerce,95.2,2020,Smt R K D Fomra V Vidyalaya,CBSE,88.8,2018
267,Kavya Mittal,Female,6/28/2002,24,7.56,Daulat Ram College,University Of Delhi,B.Sc. (Hons.),Botany,80.23,2021,"D.C. Montessori Sr. Sec. Smart School, Manimajra",CBSE,Arts/ Humanities,83.4,2018,Christ School Poonch,CBSE,89.3,2016
268,Rahul Saxena,Male,11/17/2001,27,7.88,"Bhilai Institute Of Technology, Durg",University Of Petroleum And Energy Studies,B.B.A.,Mechatronics Engineering,73.2,2018,Air Force Bal Bharati School,CBSE,Commerce,86.2,2014,L.P. Savani International School,CBSE,81.85,2011
269,Ruchika Patel,Female,3/30/2001,23,8.02,Government Kamlaraja Girls Post-Graduate Autonomous College,Jiwaji University,B.Com. (Hons.),Accounting And Taxation,82.13,2022,The Modern Academy,CBSE,Commerce,90.6,2019,St. Theresa's Convent Sr. Sec. School,ICSE,95,2017
270,Akanksha Gupta,Female,10/17/1999,24,6.79,Chitkara University,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,79.46,2021,Yadavindra Public School,CBSE,Commerce,87.6,2018,"Jawahar Vidya Mandir, Shyamali",CBSE,79.8,2016
271,Ameena Sidhu,Female,11/25/2001,24,8.31,Janki Devi Memorial College,Kurukshetra University,B.Sc.,Database Management Systems,73.81,2022,K.L. Arya Dav Public School,CBSE,Commerce,92,2018,Minerva Public School,CBSE,93.1,2016
272,Jyoti Patnaik,Female,11/21/1999,26,7.98,Government Engineering College,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,65.98,2019,Pathania Public School,CBSE,Commerce,79.6,2016,Delhi Public School,CBSE,77.9,2014
273,Arvind Khanna,Male,3/17/2002,23,7.21,Compfeeders Aisect College Of Professional Studies,Panjab University,B.Sc.,Bsc. Hons Mathematics (Economics Minor),79.45,2022,Vidya Mandir Public School,CBSE,Arts/ Humanities,88.33,2019,Modern Public school,CBSE,95,2016
274,Rajat Venkatesh,Male,12/18/2000,25,6.95,Jagannath International Management School,Amity University,B.A. (Hons.),Economics,72.3,2021,St. George'S School,CBSE,Commerce,67.6,2015,Darbari Lal D.A.V Model School,CBSE,66,2013
275,Chandan Talwar,Male,3/30/2001,22,8.33,Motilal Nehru College,University Of Delhi,B.Com. (Hons.),General,77.71,2021,Vikas Bharati Public School,CBSE,Commerce,94.4,2018,Vikas Bharati Public School,CBSE,95,2016
276,Hemlata Hanjra,Female,8/14/1998,27,8.02,Satyawati College,University Of Delhi,B.Com. (Hons.),General,70.73,2018,Delhi Public School,CBSE,Commerce,87,2014,St. Xavier's School,CBSE,90.25,2011
277,Hemlata Kaur,Female,3/26/2002,23,7.71,Narsee Monjee Institute Of Management Studies,University Of Kota,B.B.A.,Commerce,79.4,2022,Ahlcon International School,CBSE,Commerce,85.6,2019,Ashok Memorial Public School,CBSE,87.4,2017
278,Surbhi Vyas,Female,7/20/2002,23,8.43,National Institute Of Fashion Technology,Nmims University,B.Com. (Hons.),General,76.57,2021,K R Mangalam World School,RBSE,Science (Medical),60,2017,Gurukul Convent School,CBSE,76,2015
279,Pooja Goswami,Female,7/14/1998,26,7.98,St .Thomas College,University Of Delhi,B.Com. (Hons.),General,80.8,2019,Rainbow School,CBSE,Commerce,92.2,2016,Pragati Public School,CBSE,72.2,2014
280,Siddhesh Chahal,Male,1/23/2000,28,5.67,Dyal Singh Evening College,Dr. A.P.J. Abdul Kalam Technical University,B.B.A.,General,66.64,2018,New Era Public School,CBSE,Commerce,87.5,2014,Springdales School,CBSE,70.3,2011
281,Deepak Bedi,Male,8/27/2001,26,5.82,School Of Commerce,University Of Petroleum And Energy Studies,B.E.,Electronics And Communication Engineering,63.63,2021,Sri Guru Harkrishan Public School,CBSE,Commerce,69.6,2016,Sri guru Harkrishan Public school,CBSE,70.3,2014
282,Rudra Rana,Male,8/20/2002,26,5.86,Jagannath Institute Of Management Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,77.33,2021,Summer Fields School,CBSE,Science (Non-Medical),74,2016,Navy Children School,CBSE,81.7,2014
283,Manisha Dhar,Female,5/30/1998,24,6.87,Chitkara University,Guru Gobind Singh Indraprastha University,B.B.A.,General,77.14,2022,Patrachar Vidyalaya,CBSE,Commerce,83.5,2017,Vanasthali Public School,CBSE,79.8,2015
284,Arpita Deshpande,Female,10/28/1999,25,7.06,Dr. Zakir Hussain College Of Engineering And Technology,Aligarh Muslim University,B.E.,General,70.78,2020,Delhi Public School,Tamil Nadu State Board,Science,60,2018,Rose Mary Matriculation Higher Secondar School,ICSE,87.13,2018
285,Deepak Dwivedi,Male,7/21/2000,24,8.28,Kalinga Institute Of Industrial Technology,Amity University,B.Com. (Hons.),Accounting And Finance,81.4,2022,B.D.M International School,CBSE,Commerce,90,2017,Little Flower Convent School,CBSE,79.8,2015
286,Aakash Sodhi,Male,7/24/2000,22,6.52,Brihan Maharashtra College Of Commerce,I.K. Gujral Punjab Technical University,B.B.A.,Marketing And Human Resource,79.7,2022,Guru Nanak Public School,CBSE,Commerce,81.6,2019,K.R Mangalam World School,CBSE,95,2017
287,Urmila Sidhu,Female,4/18/2001,22,6.2,Shyama Prasad Mukherjee College For Women,University Of Delhi,B.A. (Hons.),Political Science,69.63,2023,Vivekanand School,CBSE,Arts/ Humanities,92.6,2020,Little Flowers Public School,CBSE,74.1,2018
288,Varsha Bhullar,Female,11/28/2002,25,6.08,Amity School Of Engineering And Technology,Amity University,B.Tech,Electronics And Communication Engineering,69.2,2021,Dav Public School,CBSE,Science (Non-Medical),62,2017,DAV Public School,CBSE,79.8,2015
289,Ashok Dhillon,Male,3/17/1994,22,7.46,Lalbhai Dalpatbhai Arts College,Gujarat University,B.A.,Economics,69.5,2023,K.R. Mangalam World School,CBSE,Arts/ Humanities,95,2020,Lucknow Public Schools and Colleges,CBSE,73.2,2018
290,Komal Lal,Female,4/21/2002,22,7.83,Lakshmibai College,Maharshi Dayanand University,B.B.A.,General,77.83,2023,S. D. Jain Modern School,CBSE,Commerce,76.8,2020,Convent of Jesus and Mary,CBSE,95,2018
291,Kavya Mishra,Female,8/20/2002,21,6.3,Institute Of Home Economics,University Of Delhi,B.Sc. (Hons.),General,78.9,2022,K.L. Arya Dav Public School,CBSE,Science (Non-Medical),93.3,2019,The Aryan School,CBSE,80.5,2017
292,Anjali Bajwa,Female,10/28/1999,25,7.06,Dr. Zakir Hussain College Of Engineering And Technology,Aligarh Muslim University,B.E.,Hospitality,70.78,2020,Maya Devi Higher Secondary School,CBSE,Commerce,67,2017,L.S.D.B.R.A.S Vidya Mandir,CBSE,74.1,2015
293,Avni Bhullar,Female,7/15/1998,23,7.21,Kirorimal College,University Of Delhi,B.Com. (Hons.),Commerce,69.81,2023,Delhi Public School,CBSE,Commerce,86.2,2020,"Bal Bharati Public School, Brij Vihar, Ghaziabad, UP",CBSE,93,2018
294,Simran Mishra,Female,9/20/1998,24,7.38,Institute Of Management Studies,University Of Delhi,B.A. (Hons.),English Literature,80.2,2022,Tecnia International School,ISC,Science (Medical),95.4,2018,Gagan Bharti Public School,ICSE,93.1,2016
295,Namrata Bhatia,Female,3/22/2001,22,7.1,Dr. Ambedkar Institute Of Hotel Management,Kerala University,B.B.A.,General,66.6,2022,Delhi International School,CBSE,Commerce,92.6,2019,St. Cecilia's Public School,CBSE,95,2017
296,Dhruv Sandhu,Male,10/28/2001,24,7.19,Symbiosis Centre For Management Studies,Symbiosis International (Deemed University),B.Com.,Electrical Engineering,72.3,2020,St. Peter'S Junior College Of Science And Commerce,CBSE,Commerce,86.4,2017,Pinewood School,CBSE,79.8,2015
297,Kiran Malhotra,Male,7/20/2001,23,7.36,Satyawati College,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),Commerce,82.67,2022,St. TheresaâS Convent School,Maharashtra State Board of Secondary and Higher Secondary Education,Commerce,87.2,2019,Sachdeva Public School,CBSE,87.4,2017
298,Sanya Chhabra,Female,5/23/2002,24,6.87,Chitkara University,Guru Gobind Singh Indraprastha University,B.B.A.,General,85,2020,Delhi Public School,ISC,Commerce,76,2017,Delhi Public School,ICSE,88.17,2015
299,Rakesh Grewal,Male,4/30/1999,24,7.32,Tecnia Institute Of Advanced Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,71.5,2020,Kendriya Vidyalaya Masjid Moth,CBSE,Commerce,78,2017,Kendriya Vidyalaya Masjid Moth,CBSE,82.83,2015
300,Ankita Arora,Female,8/23/2000,22,6.2,Virendra Swarup Institute Of Computer Studies,Kerala University,B.B.A.,General,70.4,2023,Shri Kanwartara Public Higher Secondary School,"Department of Pre-University Education, Karnataka",Commerce,67.8,2019,"B.N.S. English School Naria, Lanka BHU, Varanasi",ICSE,76,2017
301,Geeta Chahal,Female,8/20/2001,21,7.94,Maharaja Surajmal Institute,University Of Delhi,B.B.A.,Commerce,85.6,2023,Ahlcon Public School,CBSE,Commerce,95.67,2020,Rosary Senior Secondary School,CBSE,95,2018
302,Naina Chhabra,Female,2/21/1999,23,6.93,Bharati College,University Of Delhi,B.Sc. (Hons.),Chemistry,75.54,2022,Sumit Bal Sr. Sec. School,CBSE,Science (Medical),85.8,2019,"Jnj Dav Sen Sec Public School, Gidderbaha",CBSE,81.7,2017
303,Jitendra Bajwa,Male,7/24/2000,23,7.09,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,92.3,2022,Nehru World School,CBSE,Commerce,77.83,2019,Nehru World School,CBSE,68,2017
304,Anurag Shetty,Male,1/18/2000,25,6.57,City College Of Commerce & Business Administration,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,79.28,2020,The Aryan International School,CBSE,Commerce,72.83,2016,Vivekananda Kendra vidyalaya,CBSE,64.6,2014
305,Rahul Chahal,Male,4/23/1999,25,7.36,Saint Andrews College,Guru Gobind Singh Indraprastha University,B.Com.,Mechanical And Automation Engineering,86.5,2022,Delhi Public School,CBSE,Commerce,86.4,2017,Summer Fields School,CBSE,95,2015
306,Akanksha Bajwa,Female,2/19/2002,22,7.27,Kanoria Mahila Mahavidhyalaya,Guru Gobind Singh Indraprastha University,B.A. (Hons.),Economics,87.9,2023,Titiksha Public School,CBSE,Science (Non-Medical),87.84,2020,R K C Vidya Vihar,CBSE,91.5,2018
307,Tanya Venkatesh,Female,3/28/1996,22,7.7,St. Xavier'S College,Symbiosis International University,B.Com. (Hons.),Human Resource Management,80.7,2022,Seth Anandram Jaipuria School,CBSE,Commerce,93.08,2019,Navy Children School,CBSE,83.6,2017
308,Swati Khanna,Female,8/14/2002,23,6.81,Budge Budge Institute Of Technology,Chaudhary Charan Singh University,B.A. (Hons.),Economics,58,2020,Chickar International School,CBSE,Science (Non-Medical),69,2017,St. Mary's Presentation Convent Senior Secondary School,CBSE,88.14,2015
309,Devendra Rout,Male,11/20/2000,25,5.83,Goenka College Of Commerce And Business Administration,C. V. Raman Global University,B.Com. (Hons.),Civil Engineering,61.7,2020,The Aryan International School,ISC,Science (Non-Medical),87.5,2017,East West Model School,Maharashtra State Board of Secondary and Higher Secondary Education,86.33,2015
310,Sameera Mathur,Female,3/28/2000,27,7.58,Future Institute Of Engineering And Management,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,73.8,2018,Ryan International School,CBSE,Commerce,80,2014,Vivekanand School,CBSE,74.33,2012
311,Mohan Chhabra,Male,7/24/2002,22,7.57,Keshav Mahavidyalaya,University Of Delhi,B.Com. (Hons.),General,77.9,2022,Lions Public School,CBSE,Commerce,86,2019,L.S.D.B.R.A.S Vidya Mandir,CBSE,91.2,2017
312,Ayesha Pannu,Female,7/22/2002,24,7.34,Shaheed Bhagat Singh College,University Of Delhi,B.Com. (Hons.),General,71.9,2021,St. Xavier'S School,CBSE,Commerce,89.6,2018,Lovely Public Senior Secondary School,CBSE,76,2016
313,Nitin Singh,Male,8/25/1998,23,7.28,Sri Aurobindo College Evening,University Of Delhi,BMS,Retail Management and IT,84.3,2022,Springdales School,CBSE,Arts/ Humanities,81.8,2019,Amity International School,CBSE,95,2017
314,Jaya Patel,Female,7/29/2002,23,7.47,Sri Venkateswara College,University Of Delhi,B.Sc. (Hons.),Statistics,89.2,2023,Green Way Modern School,CBSE,Science (Medical),88.6,2020,Kendriya Vidyalaya DLW,CBSE,92.67,2018
315,Abhay Goswami,Male,2/27/2001,22,7.46,Institute Of Information Technology And Management,University Of Delhi,B.B.A.,General,77.9,2022,Mahavir Senior Model School,CBSE,Commerce,81.17,2019,Mahavir Senior Model School,CBSE,89.3,2017
316,Aman Chhabra,Male,9/18/2001,22,7.18,Sri Guru Gobind Singh College Of Commerce,University Of Delhi,B.Com.,Commerce,74.07,2023,Dav Public School,CBSE,Commerce,92.2,2020,Bal Bharti School,CBSE,85.5,2018
317,Jaya Dhillon,Female,2/17/2001,28,8,Amity University,University Of Delhi,B.Com. (Hons.),General,67.06,2017,Crpf Public School,CBSE,Commerce,92.2,2015,Decent Public School,CBSE,91.2,2013
318,Vivek Gupta,Male,8/16/2002,23,5.95,Jagannath Institute Of Management Studies,Lovely Professional University,B.Tech,Civil Engineering,81.7,2022,Chinmaya Vidyalaya,CBSE,Science (Non-Medical),72.83,2018,All Saints school,ICSE,85.5,2016
